"","growth"
"X1201710745",0.14210940586501
"X1201710749",0.117784786453896
"X1201710761",0.124973861030636
"X1201710763",0.84015058946788
"X1201715350",0.119072898691945
"X1201715351",0.120375681280339
"X1201715352",0.830648644134898
"X1201715353",0.137261889445108
"X1201715354",0.837910424732282
"X1201715355",0.122787825893489
"X1201715356",0.132866193519835
"X1201715357",0.130811480994174
"X1201715358",0.128133084243965
"X1201715360",0.143322582160664
"X1201715361",0.12393920349395
"X1201715363",0.125818883792482
"X1201715364",0.127429045161332
"X1201715365",0.127718773060886
"X1201715367",0.1282593880454
"X1201715368",0.838642362797521
"X1201715370",0.120035339094461
"X1201715371",0.126706101900212
"X1201715374",0.124174537512048
"X1201715375",0.133249940623098
"X1201715376",0.118394447522478
"X1201715377",0.812066468551244
"X1201715380",0.12518141857194
"X1201715381",0.832715849627667
"X1201715382",0.815311174767246
"X1201715383",0.126658251778425
"X1201715384",0.855043894149182
"X1201715385",0.1193221650671
"X1201715386",0.122576563537344
"X1201715387",0.12249059406039
"X1201715388",0.123753794482902
"X1201715390",0.114732894006579
"X1201715391",0.129876250557082
"X1201715393",0.838511575133664
"X1201715394",0.848704933471154
"X1201715396",0.120591847234425
"X1201715397",0.127893560379572
"X1201715398",0.825626590010481
"X1201715400",0.132971372962768
"X1201715403",0.129290785364487
"X1201715404",0.124611940015991
"X1201715406",0.829056961373618
"X1201715407",0.126051991726717
"X1201715409",0.389246409415964
"X1201715411",0.795297914949142
"X1201715414",0.121926726518161
"X1201715415",0.115912764406068
"X1201715416",0.848757545117949
"X1201715417",0.148797473665949
"X1201710765",0.117248890977404
"X1201710766",0.121469342492331
"X1201710767",0.114959043232347
"X1201710768",0.131463542558901
"X1201710770",0.847038168963084
"X1201715418",0.842935513241287
"X1201715419",0.0957996353109904
"X1201715421",0.156240235748126
"X1201715425",0.128522700571919
"X1201715426",0.126295532880073
"X1201715427",0.129820651869732
"X1201715429",0.119266126197164
"X1201715430",0.127703341857786
"X1201715431",0.129819086730005
"X1201715432",0.190185546998963
"X1201715433",0.122345482642701
"X1201715435",0.84400349038654
"X1201715436",0.130782236496627
"X1201715437",0.123836457915325
"X1201715438",0.842153496369828
"X1201715440",0.14762883422867
"X1201715441",0.128525533978165
"X1201715442",0.123524356867978
"X1201715443",0.824211862424357
"X1201715444",0.119874111488008
"X1201715446",0.127366780397526
"X1201715448",0.1288204174749
"X1201715449",0.816804285311117
"X1201715450",0.860959409308772
"X1201715451",0.130374718685175
"X1201715453",0.128107956917344
"X1201715454",0.1221180709041
"X1201715455",0.143028526690514
"X1201715456",0.838736594933546
"X1201715457",0.125650552406169
"X1201715459",0.126202423435809
"X1201715461",0.128594657588567
"X1201715462",0.759246924615597
"X1201715463",0.117730801268878
"X1201715464",0.12318331806775
"X1201715465",0.184145087822662
"X1201715466",0.125946931325329
"X1201715467",0.849106671033
"X1201715471",0.12188641531239
"X1201715472",0.831292529791825
"X1201715473",0.122142490237116
"X1201715474",0.12712238981434
"X1201715475",0.121312677677375
"X1201715476",0.125218438816902
"X1201715477",0.123241705555655
"X1201715478",0.116223849240839
"X1201715479",0.124457441151991
"X1201715480",0.123031729996076
"X1201715482",0.818536406512432
"X1201715484",0.124010364220976
"X1201710772",0.120939712986725
"X1201710773",0.124893688929366
"X1201710775",0.113888871886614
